episode_id,cluster_kmeans,episode_start_reason,n_events,duration_ms,n_trade,n_add,n_cancel,trade_ratio,add_ratio,cancel_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio
160,4,soft_dt_jump,9,60,0,8,1,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0
161,4,soft_dt_jump,40,250,5,31,4,0.125,0.775,0.1,0.375,0.2,0.025,0.0
162,4,soft_dt_jump,9,40,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0
163,4,soft_dt_jump,24,90,5,18,1,0.20833333333333334,0.75,0.041666666666666664,0.2916666666666667,0.25,0.0,0.0
164,4,soft_dt_jump,12,20,6,6,0,0.5,0.5,0.0,0.6666666666666666,0.16666666666666666,0.5,0.0
165,4,soft_dt_jump,15,80,1,14,0,0.06666666666666667,0.8888888888888888,0.0,0.4666666666666667,0.13333333333333333,0.06666666666666667,0.0
166,0,soft_dt_jump,17,10,10,7,0,0.5882352941176471,0.4117647058823529,0.0,0.6470588235294118,0.11764705882352941,0.47058823529411764,0.0
167,4,soft_dt_jump,8,20,1,6,1,0.125,0.75,0.125,0.5,0.125,0.0,0.0
168,0,soft_dt_jump,12,10,9,3,0,0.75,0.25,0.0,1.0,0.0,0.6666666666666666,0.0
169,4,soft_dt_jump,9,30,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0
170,4,soft_dt_jump,8,40,0,6,2,0.0,0.75,0.25,0.5,0.0,0.0,0.0
171,4,soft_dt_jump,34,250,8,25,1,0.23529411764705882,0.7352941176470589,0.029411764705882353,0.4117647058823529,0.23529411764705882,0.11764705882352941,0.0
172,0,soft_dt_jump,37,20,31,6,0,0.8378378378378378,0.16216216216216217,0.0,0.6486486486486487,0.35135135135135137,0.13513513513513514,0.0
173,4,soft_dt_jump,22,180,5,16,1,0.22727272727272727,0.7272727272727273,0.045454545454545456,0.3181818181818182,0.2727272727272727,0.045454545454545456,0.0
174,4,soft_dt_jump,12,80,3,9,0,0.25,0.75,0.0,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0
175,4,soft_side_flip_with_dt_jump,10,20,1,9,0,0.1,0.8888888888888888,0.0,0.5,0.1,0.0,0.0
176,4,soft_dt_jump,9,20,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.0
177,4,soft_dt_jump,17,130,3,14,0,0.17647058823529413,0.8235294117647058,0.0,0.23529411764705882,0.058823529411764705,0.0,0.0
178,4,soft_dt_jump,13,40,1,10,2,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.23076923076923078,0.0
179,4,soft_dt_jump,9,60,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0
180,4,soft_dt_jump,20,160,4,16,0,0.2,0.8,0.0,0.6,0.15,0.0,0.0
181,4,soft_dt_jump,9,30,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0
182,4,soft_dt_jump,11,40,1,10,0,0.09090909090909091,0.8888888888888888,0.0,0.7272727272727273,0.0,0.2727272727272727,0.0
183,4,soft_dt_jump,16,140,1,14,1,0.0625,0.875,0.0625,0.375,0.125,0.0625,0.0
184,4,soft_dt_jump,15,140,2,11,2,0.13333333333333333,0.7333333333333333,0.13333333333333333,0.4666666666666667,0.2,0.13333333333333333,0.0
185,4,soft_dt_jump,18,120,2,15,1,0.1111111111111111,0.8333333333333334,0.05555555555555555,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.0
186,4,soft_side_flip_with_dt_jump,22,170,3,17,2,0.13636363636363635,0.7727272727272727,0.09090909090909091,0.2727272727272727,0.13636363636363635,0.0,0.0
187,4,soft_dt_jump,9,10,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0
188,4,soft_dt_jump,12,140,1,11,0,0.08333333333333333,0.8888888888888888,0.0,0.5,0.0,0.08333333333333333,0.0
189,4,soft_state_jump,11,80,3,8,0,0.2727272727272727,0.7272727272727273,0.0,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.0
190,4,soft_dt_jump,11,160,1,10,0,0.09090909090909091,0.8888888888888888,0.0,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0
191,4,soft_dt_jump,29,240,6,21,2,0.20689655172413793,0.7241379310344828,0.06896551724137931,0.5517241379310345,0.20689655172413793,0.20689655172413793,0.0
192,4,soft_dt_jump,8,70,3,5,0,0.375,0.625,0.0,0.25,0.375,0.0,0.0
193,4,soft_dt_jump,22,230,4,17,1,0.18181818181818182,0.7727272727272727,0.045454545454545456,0.36363636363636365,0.3181818181818182,0.045454545454545456,0.0
194,4,soft_dt_jump,8,50,1,6,1,0.125,0.75,0.125,0.5,0.25,0.25,0.0
195,0,soft_dt_jump,32,30,28,4,0,0.875,0.125,0.0,0.9375,0.0625,0.375,0.0
196,4,soft_dt_jump,11,60,4,7,0,0.36363636363636365,0.6363636363636364,0.0,0.5454545454545454,0.36363636363636365,0.0,0.0
197,4,soft_dt_jump,10,150,0,8,2,0.0,0.8,0.2,0.5,0.1,0.0,0.0
198,3,soft_dt_jump,8,60,0,7,1,0.0,0.875,0.125,0.25,0.375,0.0,0.0
