episode_id,symbol,session_bucket_std,episode_start_reason,is_too_short_episode,start_event_idx,end_event_idx,start_time_ms,end_time_ms,n_events,duration_ms,n_trade,n_add,n_cancel,buy_like_ratio,sell_like_ratio,aggressive_ratio,at_bid1_ratio,at_ask1_ratio,inside_spread_ratio,mean_dt_ms,median_dt_ms,max_dt_ms,mean_qty_log1p,mean_spread_abs,mean_top_depth_total,mean_top_depth_imbalance,delta_snap_last,delta_depth_total,delta_depth_imbalance,trade_ratio,add_ratio,cancel_ratio,side_imbalance,top1_pos_imbalance,n_events_log1p,duration_ms_log1p,n_trade_log1p,n_add_log1p,n_cancel_log1p,mean_dt_ms_log1p,median_dt_ms_log1p,max_dt_ms_log1p,mean_spread_abs_log1p,mean_top_depth_total_log1p,cluster_kmeans
34,000001,continuous_am,soft_dt_jump,0,4519,4526,34200360,34200360,8,0,0,8,0,0.375,0.625,0.625,0.125,0.25,0.0,1.25,0.0,10.0,6.999285675008898,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,-0.25,-0.125,2.1972245773362196,0.0,0.0,2.1972245773362196,0.0,0.8109302162163288,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
35,000001,continuous_am,soft_side_flip_with_dt_jump,0,4527,4537,34200370,34200380,11,10,1,8,2,0.18181818181818182,0.5454545454545454,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.0,1.8181818181818181,0.0,10.0,7.248167768954414,0.009999999999999787,124700.0,0.05212510024057738,0.0,0.0,0.0,0.09090909090909091,0.7272727272727273,0.18181818181818182,-0.3636363636363636,0.0,2.4849066497880004,2.3978952727983707,0.6931471805599453,2.1972245773362196,1.0986122886681098,1.0360919316867756,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
36,000001,continuous_am,soft_dt_jump,0,4538,4546,34200390,34200390,9,0,1,6,2,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,0.0,1.1111111111111112,0.0,10.0,6.508255603119696,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,-0.2222222222222222,0.2222222222222222,2.302585092994046,0.0,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.7472144018302211,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
37,000001,continuous_am,soft_dt_jump,0,4547,4573,34200400,34200420,27,20,17,9,1,0.14814814814814814,0.18518518518518517,0.7777777777777778,0.07407407407407407,0.18518518518518517,0.0,1.1111111111111112,0.0,10.0,7.596433479903623,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.6296296296296297,0.3333333333333333,0.037037037037037035,-0.037037037037037035,-0.1111111111111111,3.332204510175204,3.044522437723423,2.8903717578961645,2.302585092994046,0.6931471805599453,0.7472144018302211,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,0
38,000001,continuous_am,soft_dt_jump,0,4574,4585,34200430,34200430,12,0,1,10,1,0.16666666666666666,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.0,0.8333333333333334,0.0,10.0,6.980204403032694,0.009999999999999787,124700.0,0.05212510024057739,0.0,0.0,0.0,0.08333333333333333,0.8333333333333334,0.08333333333333333,-0.5,0.3333333333333333,2.5649493574615367,0.0,0.6931471805599453,2.3978952727983707,0.6931471805599453,0.6061358035703156,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
39,000001,continuous_am,soft_dt_jump,0,4586,4594,34200440,34200440,9,0,1,8,0,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.0,0.0,1.1111111111111112,0.0,10.0,7.3399983558383,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,-0.22222222222222227,0.3333333333333333,2.302585092994046,0.0,0.6931471805599453,2.1972245773362196,0.0,0.7472144018302211,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
40,000001,continuous_am,soft_dt_jump,0,4595,4607,34200450,34200460,13,10,1,10,2,0.07692307692307693,0.6923076923076923,0.6153846153846154,0.07692307692307693,0.0,0.0,1.5384615384615385,0.0,10.0,7.039831477777028,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.07692307692307693,0.7692307692307693,0.15384615384615385,-0.6153846153846154,0.07692307692307693,2.6390573296152584,2.3978952727983707,0.6931471805599453,2.3978952727983707,1.0986122886681098,0.9315582040049435,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
41,000001,continuous_am,soft_dt_jump,0,4608,4622,34200470,34200470,15,0,3,12,0,0.2,0.6,0.6666666666666666,0.2,0.2,0.0,0.6666666666666666,0.0,10.0,6.655828047352774,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.2,0.8,0.0,-0.39999999999999997,0.0,2.772588722239781,0.0,1.3862943611198906,2.5649493574615367,0.0,0.5108256237659906,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
42,000001,continuous_am,soft_dt_jump,0,4623,4639,34200480,34200500,17,20,2,13,2,0.17647058823529413,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.058823529411764705,0.0,1.7647058823529411,0.0,10.0,6.122393832646736,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.11764705882352941,0.7647058823529411,0.11764705882352941,-0.4117647058823529,0.11764705882352942,2.8903717578961645,3.044522437723423,1.0986122886681098,2.6390573296152584,1.0986122886681098,1.0169342576538425,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
43,000001,continuous_am,soft_dt_jump,0,4640,4648,34200510,34200510,9,0,0,8,1,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.0,0.0,1.1111111111111112,0.0,10.0,5.877276173839887,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,-0.4444444444444444,0.2222222222222222,2.302585092994046,0.0,0.0,2.1972245773362196,0.6931471805599453,0.7472144018302211,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
44,000001,continuous_am,soft_dt_jump,0,4649,4709,34200520,34200520,61,0,44,16,1,0.09836065573770492,0.16393442622950818,0.9016393442622951,0.03278688524590164,0.03278688524590164,0.0,0.16393442622950818,0.0,10.0,7.319996638577831,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.7213114754098361,0.26229508196721313,0.01639344262295082,-0.06557377049180327,0.0,4.127134385045092,0.0,3.8066624897703196,2.833213344056216,0.6931471805599453,0.15180601286800416,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,0
45,000001,continuous_am,soft_dt_jump,0,4710,4726,34200530,34200540,17,10,3,12,2,0.058823529411764705,0.6470588235294118,0.47058823529411764,0.23529411764705882,0.11764705882352941,0.0,1.1764705882352942,0.0,10.0,6.464990880222082,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.17647058823529413,0.7058823529411765,0.11764705882352941,-0.5882352941176471,0.11764705882352941,2.8903717578961645,2.3978952727983707,1.3862943611198906,2.5649493574615367,1.0986122886681098,0.7777045685880084,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,4
46,000001,continuous_am,soft_dt_jump,0,4727,4766,34200550,34200550,40,0,32,8,0,0.075,0.125,0.975,0.025,0.05,0.0,0.25,0.0,10.0,7.1236053617823725,0.009999999999999787,124700.0,0.052125100240577385,0.0,0.0,0.0,0.8,0.2,0.0,-0.05,-0.025,3.713572066704308,0.0,3.4965075614664802,2.1972245773362196,0.0,0.22314355131420976,0.0,2.3978952727983707,0.009950330853167872,11.733674150882164,0
